entity:pair_id	ploidy	purity	case_sample	control_sample	fracContam_WGS	participant	TiN_WGS	isRef	Timepoint
CTF001_BMPCs_170	2	0.99	CTF001_BMPCs_170	P190_WBCs_213	0.02	CTF001	0	TRUE	
CTF001_CMMCs_41	2.04	0.46	CTF001_CMMCs_41	P190_WBCs_213	0.02	CTF001	0.12	TRUE	
CTF002_BMPCs_124	2	0.89	CTF002_BMPCs_124	CTF002_WBCs_540	0.001	CTF002	0	TRUE	
CTF002_CMMCs_662	2	0.99	CTF002_CMMCs_662	CTF002_WBCs_540	0.001	CTF002	0	TRUE	
CTF003_BMPCs_300	1.93	1	CTF003_BMPCs_300	CTF003_WBCs_60	0.02	CTF003	0	TRUE	
CTF003_CMMCs_100	1.93	0.99	CTF003_CMMCs_100	CTF003_WBCs_60	0.02	CTF003	0.07	TRUE	
CTF004_CMMCs_60	2.08	0.82	CTF004_CMMCs_60	CTF004_WBCs_85	0.02	CTF004	0	TRUE	T0
CTF005_CMMCs_57	2	0.99	CTF005_CMMCs_57	CTF005_WBCs_85	0.02	CTF005	0	TRUE	
CTF010_CMMCs_402	2.28	0.98	CTF010_CMMCs_402	CTF010_WBCs_550	0.001	CTF010	0	TRUE	
CTF011_CMMCs_297	1.96	0.59	CTF011_CMMCs_297	CTF011_WBCs_410	0.001	CTF011	0	TRUE	
CTF012_BMPCs	2.17	0.78	CTF012_BMPCs	CTF012_WBCs	0.012	CTF012	0	TRUE	
CTF012_CMMCs_210	2.15	1	CTF012_CMMCs_210	CTF012_WBCs	0.006	CTF012	0	TRUE	
CTF013_BMPCs_30k	2	0.49	CTF013_BMPCs_30k	CTF013_WBCs	0.001	CTF013	0	TRUE	T1
CTF013_CMMCs_398	2.02	0.51	CTF013_CMMCs_398	CTF013_WBCs	0.001	CTF013	0	TRUE	T1
CTF013_CMMCs_T0_890	2	0.49	CTF013_CMMCs_T0_890	CTF013_WBCs	0.007	CTF013	0	FALSE	T0
CTF014_CMMCs_465	2.01	0.45	CTF014_CMMCs_465	CTF014_WBCs_69	0.02	CTF014	0	TRUE	T1
